source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,4014,9.49632,47.65912,0.796625,0.170807,46.277073
CAMELS,4015,9.53489,47.67256,1.846279,0.0596,106.854779
CAMELS,4016,9.59609,47.62798,0.14409,0.254466,8.553436
CAMELS,4017,9.63856,47.82785,0.813127,0.237469,47.212539
CAMELS,4018,9.67618,47.90307,1.156369,0.279697,67.349575
CAMELS,4019,9.69926,47.55723,3.611819,0.171823,209.553139
CAMELS,4020,9.81864,47.70470,0.531845,0.238614,30.993537
CAMELS,4021,9.86259,47.67702,0.848136,0.123703,49.351877
CAMELS,4022,9.90003,47.68426,0.050304,0.141518,2.89675
CAMELS,4023,9.97035,47.64908,0.854635,0.154082,49.711687
CAMELS,4024,10.01565,47.54264,3.238207,0.093964,187.641054
CAMELS,4025,10.05182,47.71515,0.410908,0.18859,24.228363
CAMELS,4026,10.08490,47.64554,0.413352,0.204098,24.29088
CAMELS,5001,6.01419,46.23926,0.341636,0.688716,20.016502
CAMELS,5002,6.02861,46.29859,0.542429,0.504338,31.540704
CAMELS,5003,6.06631,46.14027,0.299374,0.571625,17.444107
CAMELS,5004,6.10720,46.51699,1.153574,0.767434,67.01289
CAMELS,5005,6.19210,46.80919,0.348627,0.424177,20.21
CAMELS,5006,6.20896,46.70490,0.590384,0.535303,34.338387
CAMELS,5007,6.24696,46.75856,6.197114,0.158559,360.0
CAMELS,5008,6.27295,46.16970,0.483642,0.304031,28.218982
CAMELS,5009,6.27996,46.77260,0.176531,0.702332,10.381277
CAMELS,5010,6.31771,46.75831,0.570094,0.27967,33.215612
CAMELS,5011,6.32532,46.93535,6.154055,0.664299,357.747343
CAMELS,5012,6.33439,46.84853,0.284519,0.670703,16.6991
CAMELS,5013,6.34800,46.92778,0.152656,0.624667,9.052195
CAMELS,5014,6.36387,46.88002,0.295574,0.680739,17.331147
CAMELS,5015,6.38128,46.33040,0.23656,0.30686,13.812981
CAMELS,5016,6.38178,46.73203,0.568388,0.663713,33.045476
CAMELS,5017,6.41562,45.93444,0.700286,0.276954,40.782395
CAMELS,5018,6.41593,46.33930,0.55569,0.373387,32.394501
CAMELS,5019,6.45617,46.06488,0.216337,0.122085,12.506867
CAMELS,5020,6.47565,46.13654,0.714497,0.480523,41.539741
CAMELS,5021,6.47653,47.00094,0.292654,0.644335,17.178087
CAMELS,5022,6.49738,46.11828,4.265322,0.143866,248.372908
CAMELS,5023,6.58624,46.32612,0.196934,0.197598,11.717731
CAMELS,5025,6.61752,46.03077,2.546581,0.914708,148.053643
CAMELS,5026,6.62049,46.26511,0.681773,0.13913,39.883389
CAMELS,5027,6.64193,45.94046,3.247699,0.76413,188.806708
CAMELS,5028,6.64179,46.35352,1.541134,0.341687,89.43193
CAMELS,5029,6.66727,46.32663,2.406956,0.328942,140.077187
CAMELS,5030,6.84362,47.15465,0.510262,0.577941,29.649937
CAMELS,5031,6.85932,45.91586,3.593907,0.895453,208.903319
CAMELS,5032,6.95048,47.27163,0.419726,0.611323,24.521658
CAMELS,6001,7.95439,45.96974,3.153865,0.504958,183.496409
CAMELS,6002,8.13208,45.98593,3.20492,0.477765,186.352181
CAMELS,6003,8.25741,46.06772,5.901034,0.156908,342.218781
CAMELS,6004,8.27402,46.12178,4.401768,0.447056,255.904709
CAMELS,6005,8.30627,46.11259,4.321748,0.128718,251.340927
CAMELS,6006,8.32385,46.18081,2.758838,0.596398,160.418447
CAMELS,6007,8.42180,45.97476,3.778094,0.19492,219.606713
CAMELS,6008,8.43422,45.92688,5.192775,0.282467,301.794678
CAMELS,6009,8.52540,45.95661,4.043136,0.162594,235.309329
CAMELS,6010,8.57883,45.94133,2.420427,0.198962,140.164167
CAMELS,6011,8.64892,45.69666,5.219852,0.393055,302.968918
