source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,5031,6.85932,45.91586,3.548792,0.930064,206.311229
CAMELS,5032,6.95048,47.27163,0.449653,0.494309,26.217723
CAMELS,6001,7.95439,45.96974,3.07686,0.768665,178.871867
CAMELS,6002,8.13208,45.98593,3.103334,0.540569,180.268583
CAMELS,6003,8.25741,46.06772,2.580338,0.290328,149.806775
CAMELS,6004,8.27402,46.12178,2.796686,0.356646,162.371422
CAMELS,6005,8.30627,46.11259,2.869986,0.499327,166.704821
CAMELS,6006,8.32385,46.18081,2.640676,0.70287,153.400974
CAMELS,6007,8.42180,45.97476,4.189218,0.19989,243.878406
CAMELS,6008,8.43422,45.92688,5.431235,0.185599,315.944454
CAMELS,6009,8.52540,45.95661,4.60108,0.265927,267.705653
CAMELS,6010,8.57883,45.94133,4.851944,0.149858,283.199991
CAMELS,6011,8.64892,45.69666,5.419547,0.786468,314.800064
